intent,sentence1,sentence2,label
Set a Timer,Can you start a 10-minute stopwatch?,Begin a 10-minute alert.,1
Set a Timer,Can you start a 10-minute stopwatch?,I need a reminder in 10 minutes.,0
Set a Timer,Can you start a 10-minute stopwatch?,Keep track of 10 minutes for me.,1
Set a Timer,Can you start a 10-minute stopwatch?,Help me count down 10 minutes.,1
Set a Timer,Can you start a 10-minute stopwatch?,Start a timer exactly for 10 minutes.,0
Set a Timer,Can you start a 10-minute stopwatch?,Let me know when 10 minutes have passed.,0
Set a Timer,Can you start a 10-minute stopwatch?,Enable a timer for 10 minutes.,1
Set a Timer,Can you start a 10-minute stopwatch?,Countdown 10 minutes for me.,1
Set a Timer,Start the timer and stop after 10 minutes.,Track time for 10 minutes.,0
Set a Timer,Start the timer and stop after 10 minutes.,Set an alarm for 10 minutes from now.,1
Set a Timer,Start the timer and stop after 10 minutes.,Run a stopwatch for 10 minutes.,0
Set a Timer,Start the timer and stop after 10 minutes.,Begin a 10-minute alert.,1
Set a Timer,Start the timer and stop after 10 minutes.,I need a reminder in 10 minutes.,0
Set a Timer,Start the timer and stop after 10 minutes.,Keep track of 10 minutes for me.,0
Set a Timer,Start the timer and stop after 10 minutes.,Help me count down 10 minutes.,1
Set a Timer,Start the timer and stop after 10 minutes.,Start a timer exactly for 10 minutes.,1
Set a Timer,Start the timer and stop after 10 minutes.,Let me know when 10 minutes have passed.,1
Set a Timer,Start the timer and stop after 10 minutes.,Enable a timer for 10 minutes.,1
Set a Timer,Start the timer and stop after 10 minutes.,Countdown 10 minutes for me.,0
Set a Timer,Track time for 10 minutes.,Set an alarm for 10 minutes from now.,0
Set a Timer,Track time for 10 minutes.,Run a stopwatch for 10 minutes.,0
Set a Timer,Track time for 10 minutes.,Begin a 10-minute alert.,1
Set a Timer,Track time for 10 minutes.,I need a reminder in 10 minutes.,0
Set a Timer,Track time for 10 minutes.,Keep track of 10 minutes for me.,0
Set a Timer,Track time for 10 minutes.,Help me count down 10 minutes.,0
Set a Timer,Track time for 10 minutes.,Start a timer exactly for 10 minutes.,0
Set a Timer,Track time for 10 minutes.,Let me know when 10 minutes have passed.,0
Set a Timer,Track time for 10 minutes.,Enable a timer for 10 minutes.,0
Set a Timer,Track time for 10 minutes.,Countdown 10 minutes for me.,0
Set a Timer,Set an alarm for 10 minutes from now.,Run a stopwatch for 10 minutes.,1
Set a Timer,Set an alarm for 10 minutes from now.,Begin a 10-minute alert.,1
Set a Timer,Set an alarm for 10 minutes from now.,I need a reminder in 10 minutes.,0
Set a Timer,Set an alarm for 10 minutes from now.,Keep track of 10 minutes for me.,1
Set a Timer,Set an alarm for 10 minutes from now.,Help me count down 10 minutes.,1
Set a Timer,Set an alarm for 10 minutes from now.,Start a timer exactly for 10 minutes.,1
Set a Timer,Set an alarm for 10 minutes from now.,Let me know when 10 minutes have passed.,0
Set a Timer,Set an alarm for 10 minutes from now.,Enable a timer for 10 minutes.,1
Set a Timer,Set an alarm for 10 minutes from now.,Countdown 10 minutes for me.,0
Set a Timer,Run a stopwatch for 10 minutes.,Begin a 10-minute alert.,1
Set a Timer,Run a stopwatch for 10 minutes.,I need a reminder in 10 minutes.,1
Set a Timer,Run a stopwatch for 10 minutes.,Keep track of 10 minutes for me.,0
Set a Timer,Run a stopwatch for 10 minutes.,Help me count down 10 minutes.,0
Set a Timer,Run a stopwatch for 10 minutes.,Start a timer exactly for 10 minutes.,0
Set a Timer,Run a stopwatch for 10 minutes.,Let me know when 10 minutes have passed.,0
Set a Timer,Run a stopwatch for 10 minutes.,Enable a timer for 10 minutes.,0
Set a Timer,Run a stopwatch for 10 minutes.,Countdown 10 minutes for me.,1
Set a Timer,Begin a 10-minute alert.,I need a reminder in 10 minutes.,1
Set a Timer,Begin a 10-minute alert.,Keep track of 10 minutes for me.,1
Set a Timer,Begin a 10-minute alert.,Help me count down 10 minutes.,0
Set a Timer,Begin a 10-minute alert.,Start a timer exactly for 10 minutes.,0
Set a Timer,Begin a 10-minute alert.,Let me know when 10 minutes have passed.,1
Set a Timer,Begin a 10-minute alert.,Enable a timer for 10 minutes.,0
Set a Timer,Begin a 10-minute alert.,Countdown 10 minutes for me.,1
Set a Timer,I need a reminder in 10 minutes.,Keep track of 10 minutes for me.,1
Set a Timer,I need a reminder in 10 minutes.,Help me count down 10 minutes.,1
Set a Timer,I need a reminder in 10 minutes.,Start a timer exactly for 10 minutes.,1
Set a Timer,I need a reminder in 10 minutes.,Let me know when 10 minutes have passed.,1
Set a Timer,I need a reminder in 10 minutes.,Enable a timer for 10 minutes.,1
Set a Timer,I need a reminder in 10 minutes.,Countdown 10 minutes for me.,0
Set a Timer,Keep track of 10 minutes for me.,Help me count down 10 minutes.,0
Set a Timer,Keep track of 10 minutes for me.,Start a timer exactly for 10 minutes.,0
Set a Timer,Keep track of 10 minutes for me.,Let me know when 10 minutes have passed.,1
Set a Timer,Keep track of 10 minutes for me.,Enable a timer for 10 minutes.,0
Set a Timer,Keep track of 10 minutes for me.,Countdown 10 minutes for me.,0
Set a Timer,Help me count down 10 minutes.,Start a timer exactly for 10 minutes.,1
Set a Timer,Help me count down 10 minutes.,Let me know when 10 minutes have passed.,0
Set a Timer,Help me count down 10 minutes.,Enable a timer for 10 minutes.,0
Set a Timer,Help me count down 10 minutes.,Countdown 10 minutes for me.,0
Set a Timer,Start a timer exactly for 10 minutes.,Let me know when 10 minutes have passed.,0
Set a Timer,Start a timer exactly for 10 minutes.,Enable a timer for 10 minutes.,1
Set a Timer,Start a timer exactly for 10 minutes.,Countdown 10 minutes for me.,1
Set a Timer,Let me know when 10 minutes have passed.,Enable a timer for 10 minutes.,1
Set a Timer,Let me know when 10 minutes have passed.,Countdown 10 minutes for me.,0
Set a Timer,Enable a timer for 10 minutes.,Countdown 10 minutes for me.,1
Play Music,Play some music.,Start my favorite playlist.,0
Play Music,Play some music.,Turn on some songs.,1
Play Music,Play some music.,Can you play my top hits?,1
Play Music,Play some music.,Put on some background music.,0
Play Music,Play some music.,Play a song for me.,1
Play Music,Play some music.,Play my most recent playlist.,1
Play Music,Play some music.,Turn on the radio.,0
Play Music,Play some music.,Start my saved songs.,1
Play Music,Play some music.,Let's listen to music.,0
Play Music,Play some music.,Play something relaxing.,1
Play Music,Play some music.,Play upbeat tracks.,1
Play Music,Play some music.,Can you start the music?,1
Play Music,Play some music.,Put on a song.,0
Play Music,Play some music.,Play my last listened-to music.,0
Play Music,Play some music.,Shuffle my favorite songs.,0
Play Music,Play some music.,Turn on my music list.,1
Play Music,Play some music.,Queue my best songs.,1
Play Music,Play some music.,Start playing jazz music.,0
Play Music,Play some music.,Play classical music.,1
Play Music,Play some music.,Turn on some tunes.,1
Play Music,Play some music.,Begin my party playlist.,1
Play Music,Play some music.,I want to hear some music.,1
Play Music,Play some music.,Play an instrumental song.,0
Play Music,Play some music.,Put on some relaxing sounds.,1
Play Music,Play some music.,Start the music player.,0
Play Music,Play some music.,Turn on Spotify and play songs.,1
Play Music,Play some music.,Resume my last played track.,1
Play Music,Play some music.,Play some rock music.,0
Play Music,Play some music.,Shuffle and play my playlist.,0
Play Music,Start my favorite playlist.,Turn on some songs.,0
Play Music,Start my favorite playlist.,Can you play my top hits?,0
Play Music,Start my favorite playlist.,Put on some background music.,0
Play Music,Start my favorite playlist.,Play a song for me.,1
Play Music,Start my favorite playlist.,Play my most recent playlist.,0
Play Music,Start my favorite playlist.,Turn on the radio.,0
Play Music,Start my favorite playlist.,Start my saved songs.,1
Play Music,Start my favorite playlist.,Let's listen to music.,1
Play Music,Start my favorite playlist.,Play something relaxing.,0
Play Music,Start my favorite playlist.,Play upbeat tracks.,0
Play Music,Start my favorite playlist.,Can you start the music?,1
Play Music,Start my favorite playlist.,Put on a song.,0
Play Music,Start my favorite playlist.,Play my last listened-to music.,1
Play Music,Start my favorite playlist.,Shuffle my favorite songs.,0
Play Music,Start my favorite playlist.,Turn on my music list.,0
Play Music,Start my favorite playlist.,Queue my best songs.,0
Play Music,Start my favorite playlist.,Start playing jazz music.,0
Play Music,Start my favorite playlist.,Play classical music.,0
Play Music,Start my favorite playlist.,Turn on some tunes.,0
Play Music,Start my favorite playlist.,Begin my party playlist.,1
Play Music,Start my favorite playlist.,I want to hear some music.,0
Play Music,Start my favorite playlist.,Play an instrumental song.,0
Play Music,Start my favorite playlist.,Put on some relaxing sounds.,1
Play Music,Start my favorite playlist.,Start the music player.,1
Play Music,Start my favorite playlist.,Turn on Spotify and play songs.,1
Play Music,Start my favorite playlist.,Resume my last played track.,0
Play Music,Start my favorite playlist.,Play some rock music.,1
Play Music,Start my favorite playlist.,Shuffle and play my playlist.,1
Play Music,Turn on some songs.,Can you play my top hits?,1
Play Music,Turn on some songs.,Put on some background music.,1
Play Music,Turn on some songs.,Play a song for me.,0
Play Music,Turn on some songs.,Play my most recent playlist.,0
Play Music,Turn on some songs.,Turn on the radio.,0
Play Music,Turn on some songs.,Start my saved songs.,1
Play Music,Turn on some songs.,Let's listen to music.,0
Play Music,Turn on some songs.,Play something relaxing.,0
Play Music,Turn on some songs.,Play upbeat tracks.,0
Play Music,Turn on some songs.,Can you start the music?,1
Play Music,Turn on some songs.,Put on a song.,0
Play Music,Turn on some songs.,Play my last listened-to music.,1
Play Music,Turn on some songs.,Shuffle my favorite songs.,0
Play Music,Turn on some songs.,Turn on my music list.,1
Play Music,Turn on some songs.,Queue my best songs.,0
Play Music,Turn on some songs.,Start playing jazz music.,0
Play Music,Turn on some songs.,Play classical music.,0
Play Music,Turn on some songs.,Turn on some tunes.,0
Play Music,Turn on some songs.,Begin my party playlist.,1
Play Music,Turn on some songs.,I want to hear some music.,0
Play Music,Turn on some songs.,Play an instrumental song.,0
Play Music,Turn on some songs.,Put on some relaxing sounds.,0
Play Music,Turn on some songs.,Start the music player.,1
Play Music,Turn on some songs.,Turn on Spotify and play songs.,1
Play Music,Turn on some songs.,Resume my last played track.,1
Play Music,Turn on some songs.,Play some rock music.,1
Play Music,Turn on some songs.,Shuffle and play my playlist.,0
Play Music,Can you play my top hits?,Put on some background music.,1
Play Music,Can you play my top hits?,Play a song for me.,1
Play Music,Can you play my top hits?,Play my most recent playlist.,0
Play Music,Can you play my top hits?,Turn on the radio.,0
Play Music,Can you play my top hits?,Start my saved songs.,1
Play Music,Can you play my top hits?,Let's listen to music.,1
Play Music,Can you play my top hits?,Play something relaxing.,0
Play Music,Can you play my top hits?,Play upbeat tracks.,1
Play Music,Can you play my top hits?,Can you start the music?,1
Play Music,Can you play my top hits?,Put on a song.,0
Play Music,Can you play my top hits?,Play my last listened-to music.,0
Play Music,Can you play my top hits?,Shuffle my favorite songs.,1
Play Music,Can you play my top hits?,Turn on my music list.,0
Play Music,Can you play my top hits?,Queue my best songs.,1
Play Music,Can you play my top hits?,Start playing jazz music.,1
Play Music,Can you play my top hits?,Play classical music.,1
Play Music,Can you play my top hits?,Turn on some tunes.,1
Play Music,Can you play my top hits?,Begin my party playlist.,0
Play Music,Can you play my top hits?,I want to hear some music.,0
Play Music,Can you play my top hits?,Play an instrumental song.,1
Play Music,Can you play my top hits?,Put on some relaxing sounds.,0
Play Music,Can you play my top hits?,Start the music player.,1
Play Music,Can you play my top hits?,Turn on Spotify and play songs.,0
Play Music,Can you play my top hits?,Resume my last played track.,1
Play Music,Can you play my top hits?,Play some rock music.,1
Play Music,Can you play my top hits?,Shuffle and play my playlist.,0
Play Music,Put on some background music.,Play a song for me.,1
Play Music,Put on some background music.,Play my most recent playlist.,1
Play Music,Put on some background music.,Turn on the radio.,1
Play Music,Put on some background music.,Start my saved songs.,1
Play Music,Put on some background music.,Let's listen to music.,1
Play Music,Put on some background music.,Play something relaxing.,0
Play Music,Put on some background music.,Play upbeat tracks.,0
Play Music,Put on some background music.,Can you start the music?,0
Play Music,Put on some background music.,Put on a song.,1
Play Music,Put on some background music.,Play my last listened-to music.,0
Play Music,Put on some background music.,Shuffle my favorite songs.,0
Play Music,Put on some background music.,Turn on my music list.,0
Play Music,Put on some background music.,Queue my best songs.,1
Play Music,Put on some background music.,Start playing jazz music.,1
Play Music,Put on some background music.,Play classical music.,1
Play Music,Put on some background music.,Turn on some tunes.,0
Play Music,Put on some background music.,Begin my party playlist.,0
Play Music,Put on some background music.,I want to hear some music.,1
Play Music,Put on some background music.,Play an instrumental song.,1
Play Music,Put on some background music.,Put on some relaxing sounds.,0
Play Music,Put on some background music.,Start the music player.,1
Play Music,Put on some background music.,Turn on Spotify and play songs.,0
Play Music,Put on some background music.,Resume my last played track.,0
Play Music,Put on some background music.,Play some rock music.,1
Play Music,Put on some background music.,Shuffle and play my playlist.,0
Play Music,Play a song for me.,Play my most recent playlist.,1
Play Music,Play a song for me.,Turn on the radio.,0
Play Music,Play a song for me.,Start my saved songs.,1
Play Music,Play a song for me.,Let's listen to music.,0
Play Music,Play a song for me.,Play something relaxing.,0
Play Music,Play a song for me.,Play upbeat tracks.,0
Play Music,Play a song for me.,Can you start the music?,1
Play Music,Play a song for me.,Put on a song.,0
Play Music,Play a song for me.,Play my last listened-to music.,0
Play Music,Play a song for me.,Shuffle my favorite songs.,1
Play Music,Play a song for me.,Turn on my music list.,1
Play Music,Play a song for me.,Queue my best songs.,0
Play Music,Play a song for me.,Start playing jazz music.,0
Play Music,Play a song for me.,Play classical music.,0
Play Music,Play a song for me.,Turn on some tunes.,1
Play Music,Play a song for me.,Begin my party playlist.,0
Play Music,Play a song for me.,I want to hear some music.,0
Play Music,Play a song for me.,Play an instrumental song.,1
Play Music,Play a song for me.,Put on some relaxing sounds.,0
Play Music,Play a song for me.,Start the music player.,1
Play Music,Play a song for me.,Turn on Spotify and play songs.,1
Play Music,Play a song for me.,Resume my last played track.,1
Play Music,Play a song for me.,Play some rock music.,0
Play Music,Play a song for me.,Shuffle and play my playlist.,1
Play Music,Play my most recent playlist.,Turn on the radio.,1
Play Music,Play my most recent playlist.,Start my saved songs.,1
Play Music,Play my most recent playlist.,Let's listen to music.,1
Play Music,Play my most recent playlist.,Play something relaxing.,1
Play Music,Play my most recent playlist.,Play upbeat tracks.,0
Play Music,Play my most recent playlist.,Can you start the music?,1
Play Music,Play my most recent playlist.,Put on a song.,0
Play Music,Play my most recent playlist.,Play my last listened-to music.,0
Play Music,Play my most recent playlist.,Shuffle my favorite songs.,0
Play Music,Play my most recent playlist.,Turn on my music list.,1
Play Music,Play my most recent playlist.,Queue my best songs.,1
Play Music,Play my most recent playlist.,Start playing jazz music.,1
Play Music,Play my most recent playlist.,Play classical music.,0
Play Music,Play my most recent playlist.,Turn on some tunes.,0
Play Music,Play my most recent playlist.,Begin my party playlist.,0
Play Music,Play my most recent playlist.,I want to hear some music.,1
Play Music,Play my most recent playlist.,Play an instrumental song.,1
Play Music,Play my most recent playlist.,Put on some relaxing sounds.,0
Play Music,Play my most recent playlist.,Start the music player.,1
Play Music,Play my most recent playlist.,Turn on Spotify and play songs.,0
Play Music,Play my most recent playlist.,Resume my last played track.,0
Play Music,Play my most recent playlist.,Play some rock music.,1
Play Music,Play my most recent playlist.,Shuffle and play my playlist.,0
Play Music,Turn on the radio.,Start my saved songs.,0
Play Music,Turn on the radio.,Let's listen to music.,1
Play Music,Turn on the radio.,Play something relaxing.,1
Play Music,Turn on the radio.,Play upbeat tracks.,1
Play Music,Turn on the radio.,Can you start the music?,0
Play Music,Turn on the radio.,Put on a song.,1
Play Music,Turn on the radio.,Play my last listened-to music.,1
Play Music,Turn on the radio.,Shuffle my favorite songs.,1
Play Music,Turn on the radio.,Turn on my music list.,1
Play Music,Turn on the radio.,Queue my best songs.,1
Play Music,Turn on the radio.,Start playing jazz music.,0
Play Music,Turn on the radio.,Play classical music.,1
Play Music,Turn on the radio.,Turn on some tunes.,0
Play Music,Turn on the radio.,Begin my party playlist.,1
Play Music,Turn on the radio.,I want to hear some music.,1
Play Music,Turn on the radio.,Play an instrumental song.,0
Play Music,Turn on the radio.,Put on some relaxing sounds.,0
Play Music,Turn on the radio.,Start the music player.,0
Play Music,Turn on the radio.,Turn on Spotify and play songs.,0
Play Music,Turn on the radio.,Resume my last played track.,0
Play Music,Turn on the radio.,Play some rock music.,0
Play Music,Turn on the radio.,Shuffle and play my playlist.,1
Play Music,Start my saved songs.,Let's listen to music.,1
Play Music,Start my saved songs.,Play something relaxing.,0
Play Music,Start my saved songs.,Play upbeat tracks.,1
Play Music,Start my saved songs.,Can you start the music?,0
Play Music,Start my saved songs.,Put on a song.,0
Play Music,Start my saved songs.,Play my last listened-to music.,1
Play Music,Start my saved songs.,Shuffle my favorite songs.,0
Play Music,Start my saved songs.,Turn on my music list.,1
Play Music,Start my saved songs.,Queue my best songs.,1
Play Music,Start my saved songs.,Start playing jazz music.,0
Play Music,Start my saved songs.,Play classical music.,1
Play Music,Start my saved songs.,Turn on some tunes.,1
Play Music,Start my saved songs.,Begin my party playlist.,0
Play Music,Start my saved songs.,I want to hear some music.,0
Play Music,Start my saved songs.,Play an instrumental song.,0
Play Music,Start my saved songs.,Put on some relaxing sounds.,1
Play Music,Start my saved songs.,Start the music player.,1
Play Music,Start my saved songs.,Turn on Spotify and play songs.,0
Play Music,Start my saved songs.,Resume my last played track.,0
Play Music,Start my saved songs.,Play some rock music.,0
Play Music,Start my saved songs.,Shuffle and play my playlist.,1
Play Music,Let's listen to music.,Play something relaxing.,1
Play Music,Let's listen to music.,Play upbeat tracks.,0
Play Music,Let's listen to music.,Can you start the music?,0
Play Music,Let's listen to music.,Put on a song.,1
Play Music,Let's listen to music.,Play my last listened-to music.,0
Play Music,Let's listen to music.,Shuffle my favorite songs.,0
Play Music,Let's listen to music.,Turn on my music list.,0
Play Music,Let's listen to music.,Queue my best songs.,1
Play Music,Let's listen to music.,Start playing jazz music.,0
Play Music,Let's listen to music.,Play classical music.,0
Play Music,Let's listen to music.,Turn on some tunes.,0
Play Music,Let's listen to music.,Begin my party playlist.,1
Play Music,Let's listen to music.,I want to hear some music.,1
Play Music,Let's listen to music.,Play an instrumental song.,1
Play Music,Let's listen to music.,Put on some relaxing sounds.,0
Play Music,Let's listen to music.,Start the music player.,1
Play Music,Let's listen to music.,Turn on Spotify and play songs.,1
Play Music,Let's listen to music.,Resume my last played track.,1
Play Music,Let's listen to music.,Play some rock music.,0
Play Music,Let's listen to music.,Shuffle and play my playlist.,0
Play Music,Play something relaxing.,Play upbeat tracks.,1
Play Music,Play something relaxing.,Can you start the music?,0
Play Music,Play something relaxing.,Put on a song.,0
Play Music,Play something relaxing.,Play my last listened-to music.,1
Play Music,Play something relaxing.,Shuffle my favorite songs.,1
Play Music,Play something relaxing.,Turn on my music list.,1
Play Music,Play something relaxing.,Queue my best songs.,1
Play Music,Play something relaxing.,Start playing jazz music.,1
Play Music,Play something relaxing.,Play classical music.,0
Play Music,Play something relaxing.,Turn on some tunes.,1
Play Music,Play something relaxing.,Begin my party playlist.,1
Play Music,Play something relaxing.,I want to hear some music.,0
Play Music,Play something relaxing.,Play an instrumental song.,0
Play Music,Play something relaxing.,Put on some relaxing sounds.,1
Play Music,Play something relaxing.,Start the music player.,1
Play Music,Play something relaxing.,Turn on Spotify and play songs.,0
Play Music,Play something relaxing.,Resume my last played track.,0
Play Music,Play something relaxing.,Play some rock music.,0
Play Music,Play something relaxing.,Shuffle and play my playlist.,1
Play Music,Play upbeat tracks.,Can you start the music?,1
Play Music,Play upbeat tracks.,Put on a song.,1
Play Music,Play upbeat tracks.,Play my last listened-to music.,0
Play Music,Play upbeat tracks.,Shuffle my favorite songs.,0
Play Music,Play upbeat tracks.,Turn on my music list.,1
Play Music,Play upbeat tracks.,Queue my best songs.,1
Play Music,Play upbeat tracks.,Start playing jazz music.,1
Play Music,Play upbeat tracks.,Play classical music.,0
Play Music,Play upbeat tracks.,Turn on some tunes.,0
Play Music,Play upbeat tracks.,Begin my party playlist.,0
Play Music,Play upbeat tracks.,I want to hear some music.,0
Play Music,Play upbeat tracks.,Play an instrumental song.,1
Play Music,Play upbeat tracks.,Put on some relaxing sounds.,0
Play Music,Play upbeat tracks.,Start the music player.,0
Play Music,Play upbeat tracks.,Turn on Spotify and play songs.,0
Play Music,Play upbeat tracks.,Resume my last played track.,0
Play Music,Play upbeat tracks.,Play some rock music.,1
Play Music,Play upbeat tracks.,Shuffle and play my playlist.,0
Play Music,Can you start the music?,Put on a song.,1
Play Music,Can you start the music?,Play my last listened-to music.,0
Play Music,Can you start the music?,Shuffle my favorite songs.,0
Play Music,Can you start the music?,Turn on my music list.,0
Play Music,Can you start the music?,Queue my best songs.,1
Play Music,Can you start the music?,Start playing jazz music.,1
Play Music,Can you start the music?,Play classical music.,1
Play Music,Can you start the music?,Turn on some tunes.,0
Play Music,Can you start the music?,Begin my party playlist.,0
Play Music,Can you start the music?,I want to hear some music.,1
Play Music,Can you start the music?,Play an instrumental song.,0
Play Music,Can you start the music?,Put on some relaxing sounds.,0
Play Music,Can you start the music?,Start the music player.,1
Play Music,Can you start the music?,Turn on Spotify and play songs.,0
Play Music,Can you start the music?,Resume my last played track.,0
Play Music,Can you start the music?,Play some rock music.,1
Play Music,Can you start the music?,Shuffle and play my playlist.,1
Play Music,Put on a song.,Play my last listened-to music.,0
Play Music,Put on a song.,Shuffle my favorite songs.,1
Play Music,Put on a song.,Turn on my music list.,1
Play Music,Put on a song.,Queue my best songs.,1
Play Music,Put on a song.,Start playing jazz music.,1
Play Music,Put on a song.,Play classical music.,1
Play Music,Put on a song.,Turn on some tunes.,0
Play Music,Put on a song.,Begin my party playlist.,0
Play Music,Put on a song.,I want to hear some music.,1
Play Music,Put on a song.,Play an instrumental song.,0
Play Music,Put on a song.,Put on some relaxing sounds.,0
Play Music,Put on a song.,Start the music player.,0
Play Music,Put on a song.,Turn on Spotify and play songs.,1
Play Music,Put on a song.,Resume my last played track.,0
Play Music,Put on a song.,Play some rock music.,0
Play Music,Put on a song.,Shuffle and play my playlist.,1
Play Music,Play my last listened-to music.,Shuffle my favorite songs.,1
Play Music,Play my last listened-to music.,Turn on my music list.,0
Play Music,Play my last listened-to music.,Queue my best songs.,1
Play Music,Play my last listened-to music.,Start playing jazz music.,1
Play Music,Play my last listened-to music.,Play classical music.,1
Play Music,Play my last listened-to music.,Turn on some tunes.,0
Play Music,Play my last listened-to music.,Begin my party playlist.,0
Play Music,Play my last listened-to music.,I want to hear some music.,1
Play Music,Play my last listened-to music.,Play an instrumental song.,0
Play Music,Play my last listened-to music.,Put on some relaxing sounds.,0
Play Music,Play my last listened-to music.,Start the music player.,0
Play Music,Play my last listened-to music.,Turn on Spotify and play songs.,0
Play Music,Play my last listened-to music.,Resume my last played track.,1
Play Music,Play my last listened-to music.,Play some rock music.,0
Play Music,Play my last listened-to music.,Shuffle and play my playlist.,1
Play Music,Shuffle my favorite songs.,Turn on my music list.,1
Play Music,Shuffle my favorite songs.,Queue my best songs.,1
Play Music,Shuffle my favorite songs.,Start playing jazz music.,0
Play Music,Shuffle my favorite songs.,Play classical music.,0
Play Music,Shuffle my favorite songs.,Turn on some tunes.,0
Play Music,Shuffle my favorite songs.,Begin my party playlist.,1
Play Music,Shuffle my favorite songs.,I want to hear some music.,1
Play Music,Shuffle my favorite songs.,Play an instrumental song.,1
Play Music,Shuffle my favorite songs.,Put on some relaxing sounds.,1
Play Music,Shuffle my favorite songs.,Start the music player.,1
Play Music,Shuffle my favorite songs.,Turn on Spotify and play songs.,1
Play Music,Shuffle my favorite songs.,Resume my last played track.,1
Play Music,Shuffle my favorite songs.,Play some rock music.,1
Play Music,Shuffle my favorite songs.,Shuffle and play my playlist.,1
Play Music,Turn on my music list.,Queue my best songs.,1
Play Music,Turn on my music list.,Start playing jazz music.,1
Play Music,Turn on my music list.,Play classical music.,0
Play Music,Turn on my music list.,Turn on some tunes.,1
Play Music,Turn on my music list.,Begin my party playlist.,0
Play Music,Turn on my music list.,I want to hear some music.,0
Play Music,Turn on my music list.,Play an instrumental song.,0
Play Music,Turn on my music list.,Put on some relaxing sounds.,1
Play Music,Turn on my music list.,Start the music player.,1
Play Music,Turn on my music list.,Turn on Spotify and play songs.,0
Play Music,Turn on my music list.,Resume my last played track.,1
Play Music,Turn on my music list.,Play some rock music.,1
Play Music,Turn on my music list.,Shuffle and play my playlist.,1
Play Music,Queue my best songs.,Start playing jazz music.,0
Play Music,Queue my best songs.,Play classical music.,0
Play Music,Queue my best songs.,Turn on some tunes.,0
Play Music,Queue my best songs.,Begin my party playlist.,0
Play Music,Queue my best songs.,I want to hear some music.,1
Play Music,Queue my best songs.,Play an instrumental song.,0
Play Music,Queue my best songs.,Put on some relaxing sounds.,0
Play Music,Queue my best songs.,Start the music player.,0
Play Music,Queue my best songs.,Turn on Spotify and play songs.,1
Play Music,Queue my best songs.,Resume my last played track.,1
Play Music,Queue my best songs.,Play some rock music.,0
Play Music,Queue my best songs.,Shuffle and play my playlist.,0
Play Music,Start playing jazz music.,Play classical music.,1
Play Music,Start playing jazz music.,Turn on some tunes.,0
Play Music,Start playing jazz music.,Begin my party playlist.,1
Play Music,Start playing jazz music.,I want to hear some music.,0
Play Music,Start playing jazz music.,Play an instrumental song.,1
Play Music,Start playing jazz music.,Put on some relaxing sounds.,1
Play Music,Start playing jazz music.,Start the music player.,0
Play Music,Start playing jazz music.,Turn on Spotify and play songs.,0
Play Music,Start playing jazz music.,Resume my last played track.,0
Play Music,Start playing jazz music.,Play some rock music.,0
Play Music,Start playing jazz music.,Shuffle and play my playlist.,1
Play Music,Play classical music.,Turn on some tunes.,1
Play Music,Play classical music.,Begin my party playlist.,0
Play Music,Play classical music.,I want to hear some music.,0
Play Music,Play classical music.,Play an instrumental song.,0
Play Music,Play classical music.,Put on some relaxing sounds.,0
Play Music,Play classical music.,Start the music player.,0
Play Music,Play classical music.,Turn on Spotify and play songs.,0
Play Music,Play classical music.,Resume my last played track.,1
Play Music,Play classical music.,Play some rock music.,1
Play Music,Play classical music.,Shuffle and play my playlist.,1
Play Music,Turn on some tunes.,Begin my party playlist.,0
Play Music,Turn on some tunes.,I want to hear some music.,0
Play Music,Turn on some tunes.,Play an instrumental song.,0
Play Music,Turn on some tunes.,Put on some relaxing sounds.,0
Play Music,Turn on some tunes.,Start the music player.,0
Play Music,Turn on some tunes.,Turn on Spotify and play songs.,1
Play Music,Turn on some tunes.,Resume my last played track.,1
Play Music,Turn on some tunes.,Play some rock music.,1
Play Music,Turn on some tunes.,Shuffle and play my playlist.,1
Play Music,Begin my party playlist.,I want to hear some music.,1
Play Music,Begin my party playlist.,Play an instrumental song.,0
Play Music,Begin my party playlist.,Put on some relaxing sounds.,0
Play Music,Begin my party playlist.,Start the music player.,0
Play Music,Begin my party playlist.,Turn on Spotify and play songs.,0
Play Music,Begin my party playlist.,Resume my last played track.,0
Play Music,Begin my party playlist.,Play some rock music.,0
Play Music,Begin my party playlist.,Shuffle and play my playlist.,1
Play Music,I want to hear some music.,Play an instrumental song.,0
Play Music,I want to hear some music.,Put on some relaxing sounds.,1
Play Music,I want to hear some music.,Start the music player.,0
Play Music,I want to hear some music.,Turn on Spotify and play songs.,1
Play Music,I want to hear some music.,Resume my last played track.,1
Play Music,I want to hear some music.,Play some rock music.,0
Play Music,I want to hear some music.,Shuffle and play my playlist.,0
Play Music,Play an instrumental song.,Put on some relaxing sounds.,0
Play Music,Play an instrumental song.,Start the music player.,1
Play Music,Play an instrumental song.,Turn on Spotify and play songs.,1
Play Music,Play an instrumental song.,Resume my last played track.,0
Play Music,Play an instrumental song.,Play some rock music.,1
Play Music,Play an instrumental song.,Shuffle and play my playlist.,1
Play Music,Put on some relaxing sounds.,Start the music player.,1
Play Music,Put on some relaxing sounds.,Turn on Spotify and play songs.,0
Play Music,Put on some relaxing sounds.,Resume my last played track.,1
Play Music,Put on some relaxing sounds.,Play some rock music.,1
